Title,Subtitle,Product Description
Nike Infinity React 3 Premium,Vyrų kelių bėgimo bateliai,"Su minkšta ir palaikomoji pagalvėlė, pastatytas padėti išlaikyti jus paleisti, Begalybė React 3 yra čia, kad padėtų jums juda. Nepriklausomai nuo to, ar jūsų tempas sraigė-kaip arba laižyti-split, ji padeda išlaikyti jus kelyje. Išraiškingas, žaismingas grafika priminti jums įdomus galima rasti kiekvieną žingsnį, net tada, kai tie sunkiųjų mylių nepabėgs patys."
Nike Air Force 1 '07,Vyriški bateliai,"Spindulys gyvena Nike Air Force 1 '07, krepšinio originalas, kad kelia šviežią sukinys apie tai, ką jūs žinote geriausiai: tvariai susiuvami perdangos, švarus apdaila ir puikus suma blykstė, kad jums blizgesį."
Nike Air Max Alpha Trainer 5,Vyriški mokomieji batai,"Baigti savo paskutinį rep su galia ir stovo jį su riaumojimas, kuris apsvaigina sporto salėje į Nike Air Max Alpha Trainer 5. Maksimalus oro pagalvės siūlo patogų stabilumą kėlimo ar tai lengvas ar sunkus dieną. Platus, plokščia bazė suteikia jums didesnį stabilumą ir rankena visų sunkių treniruočių rūšių be aukojimo stiliaus, kaip jūs klajoti iš stoties stoties ir nustatyti."
Nike Pegasus 39,Vyrų kelių bėgimo bateliai,"Tegul Nike Pegasus 39 padės jums pakilti į naujas aukštumas. Daugiau lengvas viršuje nei Pegasus 38 ir idealiai dėvėti bet kuriuo metų laiku, ji palaiko sensaciją, kad padėtų išlaikyti savo kojas esančius, o po kojomis pagalvėmis ir dvigubo Zoom oro vienetai (1 daugiau nei Pegas 38) suteiks jums papildomą pop savo žingsnį. Jūsų patikimas darbo arklys su sparnais atgal."
Nike Air Max 97 OG,Vyriški bateliai,Stumkite savo stilių visu greičiu į priekį su Nike Air Max 97 OG. Iconic dizainas reikalauja įkvėpimo iš vandens lašelių ir Japonijos kulkų traukinių. Pilno ilgio Nike oro pagalvės leidžia jums važiuoti pirmos klasės komfortą.
Nike Waffle One SE,Vyriški bateliai,"Kas juda? Išsiaiškinkite vaflyje Vienas, kuris švenčia mūsų istoriją juda žmonės. Suede akcentai, patvarios tekstilės ir žaismingas Bungee laidas detales linksta į mūsų išgalvotas ""NIKE MOWING CO"". Jo vaflių pado ir Springy midsole (su klasikiniu pleišto formos) jus vyksta."
Nike Air Max Excee,Vyriški bateliai.,"Nike Air Max 90 įkvėptas Nike Air Max Excee yra klasikos šventimas per naują objektyvą. Pailgos linijos ir iškreiptos proporcijos viršutinėje dalyje sukuria 90-ųjų meilę naujai, moderniai erdvei."
Nike E-Series 1.0,Vyriški bateliai,"Nike E-Serija 1.0. Nuo lengvo stiliaus spalvų iki pliušinių medžiagų, įskaitant paminkštintą apykaklę ir putas, tai yra jūsų kvietimas pradėti. Ir baigiamajam prisilietimui, pado raštas yra įkvėptas zen smėlio sodų."
"Nike Air Deldon ""Legacy""",Easy On/Off krepšinio bateliai,"Elena Delle Donne debiutinis krepšinio batas kviečia visus įsikišti ir padaryti kadrą į žaidimą. Pagaminti visiems visų sugebėjimų sportininkams, jis turi išardomas kulnas ir didelis dirželis, todėl jūs galite gauti ir užrakinti su viena ranka. Pilnas Nike oro pagalvės plius kojų Zoom Oro vienetas suteiks jums optimalų mišinį ir energijos grįžti, kad jūs pajusite šviežią žaidimą ilgai."
Nike Air Trainer 1,Vyriški bateliai,"Nuo sporto salėje į teismą ir visur tarp, garsusis skersinių iš '87 leidžia jums keliauti be gedimų. Projektavimo detales linksta į originalą (kaip kojų dirželis), o priemoka suede amžiaus iki tobulumo. O, ir Nike oro pagalvėmis ir vidutinio cut apykakle jus patogu šiandienos nuotykius. Taigi, kur į kitą?"
Nike Air Penny 2,Vyriški bateliai,"Blykstė atgal į '96 į Air Penny 2. Drąsus ir neabejotinas, tai buvo pirmasis Air Penny sujungti Max ir Zoom Air technologija. Dabar, drąsus dizainas yra suvynioti į lakuotos odos, o parašas 1 Cent logotipas ant šono ir banguotas dizaino linijos išlaikyti prestižinį ne teisme apeliacinį skundą stiprus."
NikeCourt Zoom Vapor Cage 4 Rafa,Vyriški teniso bateliai Hard Court,"Naujoviškas, kad atlaikytų jūsų kiečiausias rungtynes, šis atnaujintas dizainas suteikia lanksčias, patvarias medžiagas būtent ten, kur jų labiausiai reikia. Parašas Rafael Nadal detales leidžia jums rep savo mėgstamą žaidėją, o jūs paleisti teismą."
Nike Air Max 97 SE,Vyriški bateliai,"Mūsų iconic dizainas, iš pradžių įkvėptas Japonijos kulkų traukinių, dabar pasakoja žaismingą istoriją, įsišaknijusią mūsų judančių žmonių istorijoje. Tekstilės viršutinis, kanapių akcentai ir sraigės dygsniavimas linksta į mūsų pramanytą ""NIKE MOVING CO"". Ir viršuje jį ant dugno, matomas Nike oro pagalvės leidžia jums važiuoti pirmos klasės komfortą. Taigi, kur?"
Jordan Why Not .6 x Honor The Gift® PF,Vyriški bateliai,"Gerbkite savo dovaną. Nuo Dunks ir Dimes ne teismo 'fits, the Why Not.6 daro kiekvieną akimirką teisę parodyti savo žaidimą. Spalvos ir grafika kviečiame jus į Russell Westbrook pasaulyje, mokant duoklę jo On-teismo dominavimo ir ne teismo persona. Exposed putos ir mišinys būgniniai oda ir zomšana padidinti derliaus virbų."
Nike Air Zoom Flight 95,Vyriški bateliai,"Ar jūs kada nors turėjo dj batų? Blykstė atgal į vieną iš pirmųjų batų populiarinti Zoom Air technologija ir relive lankai revoliucija. Su savo tekančių linijų, lakuotos odos akcentai ir futuristinis ""Bug Eye"" išsamiai, oro Zoom Flight 95 yra ne svajonė-tai jūsų bilietas pasukti galvas."
Nike Pegasus 39 Premium,Vyrų kelių bėgimo bateliai,"Su subalansuota ir energizuota važiavimo bet paleisti, Pegasus 39 Premium ""yra čia, kad padėtų jums juda. Nepriklausomai nuo to, ar jūsų tempas yra sraigė-kaip arbalickety-split, drąsios spalvos šiame Peg 39 padės išlaikyti jus kelyje. Zoom oro ir palaikomasis sensacingas darbas su išraiškingas, žaismingas grafika priminti jums įdomus gali būti rasti kiekvieną žingsnį, net tada tie sunkūs mylios nebus paleisti į priekį."
Nike Invincible 3,Vyrų kelių bėgimo bateliai,"Su maksimaliu amortizatorius remti kiekvieną mylią, Nenugalimieji 3 suteikia jums mūsų aukščiausio lygio komfortą po kojomis, siekiant padėti jums likti ant kojų šiandien, rytoj ir už jos ribų."
Nike Zoom Fly 5,Vyrų kelių bėgimo bateliai,"Atotrūkis tarp savaitgalio treniruočių ir lenktynių dienos yra patvaraus dizaino, kuris gali būti naudojamas ne tik pradinėje lenktynių linijoje, bet ir dienomis bei mėnesiais po užkariavimo. Jis suteikia komfortą ir patikimumą, bet su skatinamuoju pojūčiu, kuris padės jaustis greitai ir gaiviai. Toks universalumas yra neįprastas bėgimo arenoje."
Nike Air More Uptempo '96,Vyriški bateliai,"Daugiau nei galbūt bet kuris kitas siluetas, Air More Uptempo inkapsulates '90s krepšinio aromatas jos geriausių. Didelis ir garsiai, unapologetic dizainas yra stiliaus ir naujovių hibridas, kad padarė didelių bangų, kai jis debiutavo ir vis dar sukasi galvas šiandien. Ši meistriškai priima jį paprasta ir lengva stiliaus klasikinis juodos ir baltos spalvos, o popsas pridėti šviežio oro kvapą."
Jordan Why Not .6 PF,Vyriški bateliai,"Russell Westbrook 6-asis parašas batų yra, jūs atspėjote jį visi apie greičio. Norėdami gauti jums eiti taip greitai, kaip įmanoma, mes suvynioti gumos pado beveik iki midsole, todėl jums nereikės slydimo, kai jūs sprogti nuo 0 iki 100. Papildoma apsauga ateina iš vidaus batelis, kuris saugo jus pririšti kaip jums srove per teismą."
Nike Offcourt,Vyrų šlepetės,"Pradžiuginti savo komandą pergalė su Nike Ofcourt skaidres. Brazilija įkvėpė grafika ir spalvos leidžia jums rep savo komandą. Ir jei tai nėra pakankamai, novatoriškas putos midsole leidžia jums skaidrių iš gatvių į balinimo į visų žvaigždučių komforto paplūdimiai."
Air Jordan 1 Mid,Vyriški bateliai,"Įkvėptas originalaus AJ1, šis vidurio Top Edition išlaiko Portretų išvaizdą jums patinka, o pasirinkimas spalvos ir trapumą odos suteikia jai atskirą tapatybę."
Air Jordan 1 Mid SE Craft,Vyriški bateliai,"Iš naujo sugalvoti AJ1 amatų piktogramą. Viršutinė yra pagamintas iš drobės ir odos unikalus imtis smūgių žinote ir meilės, o veikiami kraštas aplink apykaklę prideda dar daugiau tekstūros savo išvaizdą. Ir kaip visada, jie pagaminti kasdien dėvėti su klasikinių cupsole statybos ir visada patenkinti oro padas."
Nike Dunk Low Retro Premium,Vyriški bateliai,"Ateikite, ateiti į katilą, kur derliaus lankai stilius verda ir burbuliukai. Žiūrėti šešėliai šliaužti iš po Swoosh. Kaip akis žiūrint iš tamsaus, tamsiai naktį, atspindintis dizainas viršutinis atneša triukas-ar-gydytojas blizgesį. Nėriniai ir saugokitės, tai krepšinio piktograma tikrai atneš šiek tiek panika."
Nike Air Force 1 '07 LV8,Vyriški bateliai,"Derlius detalės pakelti piktogramą, kad jums nesenstantis stilius, kad būtų lengva dėvėti. Nekilnojamasis ir sintetinė oda suteikia šie kicks klasikinis jaustis, o sluoksniuoti Swoosh logotipai ir veikiami putos ant liežuvio pridėti retro išvaizdą. Žinoma, kai kurie dalykai niekada pakeisti: Nike oro vienetai vis dar pagalvėmis jūsų kiekvieną žingsnį."
Nike Alphafly 2,Vyriški kelių lenktynių bateliai,"Kai jūs imtis keletą žingsnių į Nike Alphafly 2, jūs niekada pažvelgti į savo mėgstamą porą senų lenktynių batai tokiu pačiu būdu. Šie raketiniai laivai yra pagaminti padėti skustis brangų laiką išjungti savo asmeninius įrašus neprarandant pagrindą jums reikia eiti visą atstumą. Storas, lengvas paramos sistema atneša komfortą ir greitį kartu, todėl jūs galite mėgautis mūsų didžiausią energijos grąžą, o jūs vaikystes savo asmeninius geriausius."
Air Jordan 1 Mid SE,Vyriški bateliai,"Gauk, kad Jordanija energijos ant kojų šį šventinį sezoną. Turtingas grūdų odos su ryškiomis detalėmis, kad ši pora blizgesį kaip šventinių žiburių."
Nike SB Force 58,Skate Shoes,"Naujausia ir didžiausia naujovė, kad pasiektų gatves, Force 58 suteikia jums iš taurelė su vulkanizuotos batai lankstumo. Pagaminti iš drobės ir zomšinio ir baigė su perforacijos ant kojų, visa išvaizda yra įkvėptas paveldo krepšinio DNR."
Nike SB Blazer Court Mid Premium,Skate Shoes,"Su savo toninio dizaino ir klasikinių medžiagų, Blazer teismo Mid atnaujina retro lankai vibe skate. Jo sustiprinta ollie zonoje ir lankstus vienintelis padėti jį paskutinis per savo sunkiausias sesijas."
Nike SB Chron 2 Canvas,Batai,"Nike SB Chron 2 Canvas yra naujausias Chronų šeimos narys. Pataisytame dizaino modelyje yra performuota apykaklė ir kulnas, skirtas patobulintam fit-visi kartu išlaikant komfortą ir našumą, kurio tikimasi iš Nike SB."
Nike SB Nyjah 3,Skate Shoes,"Šviesa. Be pastangų. Ant taško. Nyjah 3 pristato kitą iteraciją riedučių batų, kad yra neeilinis kaip Nyjah. Padidinti oro technologiją kulnų porų su korio padas, kad yra grimpus dar plunksnų."
Nike SB Ishod Wair Premium,Skate Shoes,"Kai atėjo laikas sukurti savo parašą batų, Ishod Wair buvo viskas nuo pradžios iki pabaigos. Kartu su elementais, paimtų iš Portretų lankai batų 90s, (ar žinote, kad krepšinio buvo Ishod 1-oji meilė?) ir pastatytas su visais patvarumo jums reikia čiuožinėti sunku rimtai, patikrinkite, kad naujas cassoleNike SB Ishod Wair eina tarp originalaus stiliaus ir šiuolaikinės riedlenčių naujovių liniją."
Nike SB Dunk High Pro PRM,Skate Shoes,"Aukščiausios lygos metimas = sticks stilius. Švenčia nesenstantis beisbolo rinkiniai ir featuring ""gum"" ant gumos, ji pristato sporto įkvėpė nepagarbos brūkšnys, todėl jūs galite rep savo komandą savo mėgstamus skate batai."
Nike SB Zoom Blazer Low Pro GT,Skate Shoes,"Nike SB Zoom Blazer Low Pro GT yra iš naujo pagamintas, naudojant Grant Taylor įžvalgas. Atnaujintas dizainas suteikia jums daugiau patvarumo."
Nike SB Nyjah 3 PRM,Skate Shoes,"Lengvas, be pastangų. Nijah 3 pristato kitą išbandyto ir patikrinto riedučių bato iteraciją. Neįtikėtinas Zoom oro pagalvės poras su medumi padengtu padu, kuris yra sukibęs ir plunksnotas, todėl galite čiuožinėti kaip geriausia."
Nike SB Force 58,Batai,"Naujausia ir didžiausia naujovė į gatves, Nike SB Force 58 suteikia jums patvarumo taurelė su vulkanizuoto batų lankstumo. Pagaminti iš drobės ir zomšinio ir baigtas su perforacijos, visa išvaizda yra įkvėptas paveldo krepšinio DNR."
Nike BRSB,Skate Shoes,"Beveik kiekviena detalė, nuo spalvų blokavimo iki pjūklo rašto ant pado, buvo įkvėpta originalaus Nike Cortez. Tačiau, kadangi šis batas yra sukurtas skatei, mes pridėjome papildomų priedų, pavyzdžiui, gumos iš pado, kuris suvynioja ir per kulną ir tne patvarumo zonoje."
Nike SB Chron 2,Batai,"Lankstus ir pralaidus orui Nike SB Chron 2 yra tęsinys, vertas savo pirmtako. Pataisytas dizainas turi performuotą apykaklę ir kulną pagerintam tinkamumui – visi kartu išlaikant komfortą ir našumą, kurio tikitės iš Nike SB."
Nike SB Ishod Wair,Skate Shoes,"Kai atėjo laikas sukurti savo parašą batų, Ishod Wair buvo all-in nuo pradžios iki finišo.Inlyd su elementais, paimtų iš Portretų lankai batų 90s, (Ar žinote, kad krepšinio buvo Ishod pirmoji meilė?) ir pastatytas su visais patvarumo jums reikia čiuožinėti sunkurimtai, patikrinkite, kad naujas cassoleNike SB Ishod Wair eina tarp originalaus stiliaus ir šiuolaikinės ried inovacijų liniją."
Nike SB Ishod Premium,Skate Shoes,"Kai atėjo laikas sukurti savo parašą batų, Ishod Wair buvo viskas nuo pradžios iki pabaigos. Kartu su elementais, paimtais iš Portretų lankai batų 90s (ar žinote, kad krepšinis buvo Ishod pirmoji meilė?), jis eina tarp klasikinio stiliaus ir modernių skate naujoves liniją."
Nike SB Force 58 Premium,Skate Shoes,"Naujausia ir didžiausia į gatves išriedanti naujovėForce 58“ suteikia taurelėms tvirtumo ir vulkanizuotos avalynės lankstumo. Paslėptos detalės (pavyzdžiui, kaip orientuotis ant skraistės) suteikia žaismingą posūkį, įkvėptą išlipti į lauką. Be to, tekstilės medžiagos ir pergamentinis žymėjimas primena jūsų mėgstamas 90-ųjų kuprines."
Nike SB Blazer Low Pro GT Premium,Skate Shoes,"Grantas Tayloras čiuožimo Nike SB Blazer nuo 2014 m. Šviežia nuo spaudos, tai naujas leidimas atnaujina išvaizdą su all-Over medžio atspaudo camo ant patvarios drobės. Kitos įžvalgos iš GT, kaip iškėlė taping, sukurti naują išvaizdą, kuri yra pastatytas čiuožinėti ilgiau ir geriau nei bet kada."
Nike SB Zoom Blazer Mid Premium Plus,Skate Shoes,"Zoom Blazer Mid yra ikoniškas lankų batas, pritaikytas modernios riedlentininkės poreikiams. Tvirtos medžiagos yra surištos su trapia guma, kad būtų patogu. Paslėptos detalės (kaip vadovas ant kojinių) įkvėptos išlipti į lauką, o tekstilės akcentai ir pergamentinis žymėjimas linkteli jūsų mėgstamoms 90-ųjų kuprinėms."
Nike SB Force 58 Premium,Batai,"Naujausia ir didžiausia naujovė į gatves, Nike SB Force 58 Premium suteikia jums patvarumo taurelė su vulkanizuoto batų lankstumo.Pagaminta iš minkštos, elastingos odos ir baigtas su perforacijos, visa išvaizda yra įliejama paveldo krepšinio DNR."
Nike SB Zoom Nyjah 3,Skate Shoes,"Šviesa. Be pastangų. Ant taško. Nyjah 3 pristato kitą iteraciją riedučių batų, kad yra neeilinis kaip Nyjah. Padidinti oro pagalvės poras su korio padas, kuris yra grimpinis dar plunksnų."
Nike SB Zoom Blazer Mid Premium,Skate Shoes,"Nike SB Zoom Blazer Mid atneša tuščią drobę, kad papasakotumėte savo istoriją. Beveik visas baltas viršutinis yra paruoštas dažyti, dažyti ar piešti. Lengvas pagalvėle suteikia komforto sunkiausias riedučiais sesijas, o patvarus traukos modelis padeda nusileisti didelius rinkinius."
Nike SB Zoom Blazer Mid PRM,Skate Shoes,"SB Zoom Blazer Mid PRM siuvo ikoninį lankų stilių pagal šiuolaikinio čiuožėjo poreikius. Šlovinamas dėl klasikinio paprastumo ir komforto, jis dabar naudoja perpilamas dažų metodą, kuris yra skirtas išeikvoti mažiau vandens."
Nike SB Ishod Wair PRM,Skate Shoes,"Kai atėjo laikas kurti savo parašą batų, Ishod Wair buvo viskas nuo pradžios iki pabaigos. Gerbdamas savo pirmąją meilę, krepšinį, jis infromuotas dizainas su elementais, paimtais iš Portretų lankai batų 90s. Pastatytas su visais patvarumo jums reikia skate sunkurimtai, patikrinkite, kad naujas cupsoleNike SB Ishod Wair eina tarp originalaus stiliaus ir modernių skate inovacijų liniją."
Nike SB Dunk High Pro,Skate Shoes,"Laisvė dėvėti nieko. Na, beveik nieko. Minimali ir lengva, SB Dunk High Pro atneša jums nedelsiant, skaldytų-in pojūtis neįtikėtinai Boardfeel. Jo monochromatinė viršutinė prideda šiek tiek PNW nuojauta į savo sesijos, o viskas per suede didina savo retro apeliaciją."
Nike SB Zoom Blazer Mid Premium Plus,Skate Shoes,"Madingas 70-ųjų. Mylimas 80-ųjų. Klasikinis 90-ųjų. Paruoštas ateičiai. Zoom Blazer Mid suteikia nesenstantis dizainas, kad lengva dėvėti. Era-echoing viršutinis mišiniai medžiagų, kad įsilaužti gražiai derinys."
Nike SB Ishod Premium,Skate Shoes,"Kai atėjo laikas sukurti savo parašą batų, Ishod Wair buvo all-in nuo pradžios iki pabaigos. Kartu su elementais, paimtais iš Portretų lankai batų 90s (ar žinote, krepšinio buvo Ishod pirmoji meilė?), jis eina tarp klasikinio stiliaus ir modernių skate naujoves liniją."
Nike SB Shane,Skate Shoes,"Shane O'Neill skiria tiek pat dėmesio visoms savo batelių detalėms, kaip ir jo beveik kitame pasaulyje. Nuo žemų klavišų perforuotos ventiliacijos iki dvigubos pririšimo galimybės, iki nelūžtančio remasterinio pado – Nike SB Shane gauna visas detales teisingai."
Jordan Flight Heritage,Vyriška striukė,"Švęskite #23 garsiai ir didžiuotis su all-over spausdinti, kad moka duoklė 23 Jordanijos Portretų logotipų. Tai lengvas striukė daro subtilų pareiškimą su trapumą apykaklės, neutralios paletę ir aptakus visą-ZIP atidarymo."
Jordan Flight Heritage,Vyriškos kelnės,"Švęskite #23 garsiai ir didžiuotis su all-over spausdinti, kad moka duoklė 23 Jordanijos Portretų logotipai. Šie lengvi dugnai tinka kaip kelnės, su Welt kišenės, ZIP skristi ir diržo kilpos."
Jordan Flight MVP,Vyriška palaidinė su gobtuvu,"Pasakyk pasauliui, kad stebėtum, tu eini pro šalį! Šią drąsią, lengvą striukę tu padengei, nesvarbu ar tu fotografuoji su draugais ar sėdi prie žaidimo aikštelės. Retro vibes atneša šilumą, nuo ketvirčio-ZIP dizaino iki didelio ekrano atspausdintos grafikos, kuri prisimena tavo mėgstamiausią piktogramą."
Jordan Flight MVP,Men's Mesh Shorts,"Šių klasikinių akių šortai yra atsipalaidavęs ir kvėpuojantis, su dideliu, retro įkvėpė Jumpman logotipą išlaikyti savo išvaizdą šviežią."
Nike Sportswear,Vyriški marškinėliai.,"Šis Nike trišakis pagamintas iš minkštos, lengvos medvilnės, todėl lengvai prisitaiko prie kasdieninio patogumo. Stylizuotas Nike Futura logotipas ant krūtinės suteikia Jūsų išvaizdai daug sezoninio gyvybingumo."
Nike Sportswear Tech Fleece,Men's Joggers,"Pasirengę vėsesniam orui, Nike Sportswear Tech Fleece Joggers funkcija atnaujinta tinka puikiai tinka kasdien dėvėti. Roomy per šlaunį, tai smailas dizainas susiaurėja ties keliu, kad jums jaustis neprarandant švarią, pritaikytą išvaizdą jums patinka."
Nike,Vyriški marškinėliai.,"Mes didžiuojamės galėdami pranešti apie jūsų priėmimą į valstybinį universitetą Nike krepšinio stipendijoje. Mūsų minkštos medvilnės tee yra lengva, atsipalaidavęs tinka su komforto, kad balai pagrindinių taškų ir už aikštelė. Sveiki atvykę į komandą!"
Paris Saint-Germain,Vyrų blusų kelnės,"Lengvas su daug kišenių, jie atstoja Jordan ir PSG su siuvinėta ir screen-printed grafika subtiliam nuojauta"
Nike Sportswear Air,Vyriškas prancūziškas Terry Pullover Hoodie,Likite ištikimiNike Air“ istorijai ir kultūrai šiame prancūziškame kilpiniame megztinyje. Raglan rankovės ir erdvi pora per krūtinę ir kūną su minkštais briaunomis ant rankogalių ir apvadu švariam ir patogiam užbaigimui.
Nike Max90,"Vyriški marškinėliai ""T-shirt""","Skristi aukštai, kaip jums plaukti į šį erdvus tee ratlankio. Jis pagamintas su kampu rankovėmis, todėl nieko nelaiko savo fotografiją. Plius, mes padarėme jį iš sklandžiai Džersis audinio, kad jums patogu."
Nike Dri-FIT Form,Vyriški šortai 18cm (apytikriai.),"Šie universalūs šortai skirti bėgiojimui, treniruotėms ir jogai. Šie universalūs šortai yra skirti dirbti su tomis dienomis, kai reikia keisti savo mankštinimosi įpročius."
Nike Dri-FIT Ready,Vyriški marškinėliai trumpomis rankovėmis Fitness,"PrakaituojantiReady Top“ rankogalis padeda išlaikyti gaivumą visiems jūsų treniruotėms. Jis pjaunamas su atsipalaidavusiu, greitai džiūstančiu, kvėpuojančiu audiniu, kad būtų lengviau atvėsti, kai treniruotės įkaista. Be to, jis turi palenktas rankoves geresniam judėjimui, nesvarbu, ar keliate treniruoklių salėje, ar mankštinatės lauke."
Nike Dri-FIT ADV Tiger Woods,Vyrų Mock-kaklo golfo Polo,"Kad būtų jūsų geriausias žinoma, jums reikia būti savo patogiausia. Štai kodėl mes naudojame Tiger įžvalgas šio polo, sukurti super minkštas, tamprus jaustis taip niekas nelaiko jus atgal, kaip jūs imtis savo sūpynės. Ji turi Portretų make-neck ieškoti papildomos šilumos, plius prakaito wicking audinio, kuris padeda išlaikyti viršuje nuo prilipimo prie jūsų odos, kai prakaitas."
Nike Dri-FIT Hyverse,Vyrų trumparankovė treniruoklis tankas,"Padarėme prakaituojančią Hyverse tanką, kad padėtume jums įveikti sunkiausias treniruotes, ar tai būtų greitas bėgimas, repavimas sporto salėje, ar centro suradimas ant jogos kilimėlio. Jis pastatytas taip, kad susitvarkytų su jūsų geriausiomis treniruotėmis, todėl suteikite jam viską, ką turite."
Nike Dri-FIT Unlimited,Vyriški šortai 18cm (apytikriai.) 2-in-1,"Skirtas paleisti, mokymo ir jogos, mūsų prakaito wicking Neribotas šortai buvo padaryti viską. Jie čia už viską, ką jūsų treniruotės reikalauja, su sklandžiai, tamprus išorinis sluoksnis, kuris padeda jums likti laisvai judėti."
